"Id";"Calculo";"Algebra";"Fisica"
1151;"A";"R";"A"
1152;"R";"R";"A"
1153;"R";"A";"R"
1154;"A";"R";"R"
1155;"A";"A";"A"
1156;"A";"A";"A"
1157;"A";"A";"R"
1158;"R";"R";"R"
1159;"A";"A";"A"
1160;"R";"R";"A"
1161;"R";"A";"R"
1162;"R";"R";"A"
1163;"A";"A";"R"
1164;"A";"R";"A"
1165;"A";"A";"A"
1166;"R";"R";"A"
1167;"R";"A";"R"
1168;"R";"R";"A"
1169;"A";"R";"A"
1170;"R";"R";"A"
1171;"R";"R";"A"
1172;"R";"A";"R"
1173;"A";"R";"A"
1174;"R";"A";"A"
1175;"A";"R";"R"
1176;"A";"R";"A"
1177;"A";"R";"A"
1178;"A";"R";"R"
1179;"A";"R";"A"
1180;"A";"R";"A"
1181;"R";"R";"R"
1182;"A";"A";"A"
1183;"R";"A";"R"
1184;"A";"A";"A"
1185;"R";"A";"A"
1186;"A";"A";"A"
1187;"R";"R";"A"
1188;"A";"R";"A"
1189;"R";"A";"A"
1190;"A";"R";"R"
1191;"R";"R";"A"
1192;"R";"A";"R"
1193;"A";"A";"A"
1194;"R";"A";"R"
1195;"A";"R";"R"
1196;"A";"R";"R"
1197;"A";"R";"R"
1198;"A";"R";"A"
1199;"R";"R";"A"
1200;"A";"A";"A"
1201;"R";"A";"R"
1202;"A";"R";"A"
1203;"R";"R";"A"
1204;"A";"R";"A"
1205;"A";"A";"A"
1206;"R";"A";"A"
1207;"A";"R";"A"
1208;"R";"R";"R"
1209;"R";"R";"R"
1210;"R";"A";"R"
1211;"A";"A";"A"
1212;"A";"R";"A"
1213;"A";"R";"A"
1214;"R";"R";"A"
1215;"R";"R";"A"
1216;"A";"R";"A"
1217;"R";"A";"A"
1218;"A";"A";"A"
1219;"R";"R";"R"
1220;"R";"R";"A"
1221;"A";"R";"R"
1222;"A";"R";"A"
1223;"R";"R";"R"
1224;"R";"R";"A"
1225;"R";"A";"R"
1226;"A";"A";"R"
1227;"R";"R";"R"
1228;"R";"A";"R"
1229;"A";"A";"A"
1230;"R";"A";"A"
1231;"R";"A";"R"
1232;"R";"R";"A"
1233;"R";"A";"A"
1234;"A";"A";"R"
1235;"A";"R";"A"
1236;"A";"A";"A"
1237;"R";"R";"R"
1238;"R";"A";"A"
1239;"R";"A";"R"
1240;"R";"R";"A"
1241;"A";"A";"A"
1242;"R";"R";"A"
1243;"A";"R";"R"
1244;"A";"R";"R"
1245;"A";"A";"A"
1246;"A";"R";"A"
1247;"R";"A";"A"
1248;"A";"A";"A"
1249;"A";"R";"A"
1250;"A";"A";"R"
1251;"A";"A";"R"
1252;"A";"R";"A"
1253;"A";"R";"R"
1254;"A";"R";"R"
1255;"A";"R";"R"
1256;"A";"A";"R"
1257;"R";"R";"A"
1258;"A";"R";"A"
1259;"A";"R";"A"
1260;"A";"A";"A"
1261;"A";"R";"A"
1262;"A";"A";"R"
1263;"A";"R";"A"
1264;"A";"A";"A"
1265;"A";"A";"R"
1266;"A";"A";"R"
1267;"A";"R";"R"
1268;"R";"R";"A"
1269;"A";"R";"A"
1270;"A";"A";"A"
1271;"R";"R";"R"
1272;"R";"R";"A"
1273;"R";"R";"A"
1274;"A";"R";"A"
1275;"A";"A";"R"
1276;"R";"R";"R"
1277;"A";"R";"R"
1278;"R";"A";"R"
1279;"R";"A";"R"
1280;"R";"R";"R"
1281;"R";"R";"R"
1282;"A";"R";"R"
1283;"A";"R";"A"
1284;"A";"A";"A"
1285;"A";"R";"R"
1286;"R";"R";"A"
1287;"R";"R";"A"
1288;"R";"R";"R"
1289;"A";"A";"R"
1290;"A";"R";"R"
1291;"A";"A";"R"
1292;"R";"R";"A"
1293;"R";"A";"A"
1294;"R";"A";"R"
1295;"A";"R";"A"
1296;"R";"A";"A"
1297;"R";"R";"A"
1298;"R";"R";"A"
1299;"R";"R";"A"
1300;"A";"A";"R"
1301;"A";"A";"A"
1302;"R";"A";"R"
1303;"R";"A";"A"
1304;"R";"A";"R"
1305;"R";"R";"A"
1306;"A";"A";"A"
1307;"A";"R";"A"
1308;"A";"A";"A"
1309;"A";"R";"A"
1310;"R";"R";"A"
1311;"A";"R";"R"
1312;"R";"R";"A"
1313;"R";"R";"A"
1314;"R";"A";"A"
1315;"R";"A";"A"
1316;"A";"A";"A"
1317;"R";"R";"A"
1318;"A";"R";"A"
1319;"A";"A";"R"
1320;"A";"R";"R"
1321;"R";"A";"A"
1322;"R";"A";"R"
1323;"R";"R";"A"
1324;"A";"R";"R"
1325;"A";"A";"A"
1326;"R";"R";"A"
1327;"A";"R";"A"
1328;"A";"R";"R"
1329;"R";"A";"R"
1330;"A";"A";"R"
1331;"R";"R";"R"
1332;"A";"A";"R"
1333;"R";"A";"R"
1334;"A";"A";"A"
1335;"A";"R";"A"
1336;"A";"R";"A"
1337;"A";"R";"R"
1338;"R";"A";"R"
1339;"R";"A";"A"
1340;"R";"A";"A"
1341;"A";"R";"R"
1342;"A";"R";"A"
1343;"A";"R";"R"
1344;"R";"A";"R"
1345;"A";"R";"R"
1346;"R";"A";"R"
1347;"R";"R";"R"
1348;"R";"A";"R"
1349;"R";"R";"R"
1350;"R";"A";"R"
1351;"R";"R";"A"
1352;"A";"R";"A"
1353;"A";"A";"A"
1354;"R";"R";"A"
1355;"A";"A";"A"
1356;"A";"R";"A"
1357;"R";"A";"R"
1358;"A";"R";"A"
1359;"A";"R";"R"
1360;"R";"R";"A"
1361;"R";"R";"R"
1362;"R";"A";"R"
1363;"A";"R";"R"
1364;"R";"A";"R"
1365;"R";"R";"A"
1366;"R";"R";"R"
1367;"R";"R";"A"
1368;"A";"R";"R"
1369;"R";"R";"R"
1370;"R";"A";"R"
1371;"A";"R";"A"
1372;"A";"A";"R"
1373;"R";"R";"R"
1374;"A";"A";"A"
1375;"A";"R";"A"
1376;"R";"R";"R"
1377;"R";"R";"A"
1378;"A";"R";"R"
1379;"R";"R";"A"
1380;"A";"A";"A"
1381;"R";"R";"R"
1382;"A";"R";"R"
1383;"R";"A";"A"
1384;"R";"A";"A"
1385;"A";"R";"R"
1386;"R";"R";"R"
1387;"R";"A";"A"
1388;"R";"R";"R"
1389;"A";"A";"R"
1390;"R";"R";"A"
1391;"A";"A";"R"
1392;"A";"R";"R"
1393;"R";"A";"R"
1394;"A";"R";"A"
1395;"A";"R";"R"
1396;"R";"R";"R"
1397;"A";"R";"A"
1398;"R";"A";"A"
1399;"R";"R";"A"
1400;"A";"A";"R"
1401;"A";"R";"A"
1402;"A";"A";"A"
1403;"R";"A";"R"
1404;"A";"R";"R"
1405;"R";"A";"A"
1406;"R";"R";"R"
1407;"A";"R";"A"
1408;"A";"R";"A"
1409;"A";"A";"A"
1410;"R";"A";"R"
1411;"R";"A";"A"
1412;"R";"R";"A"
1413;"R";"A";"R"
1414;"R";"A";"A"
1415;"R";"R";"A"
1416;"A";"R";"R"
1417;"A";"A";"A"
1418;"R";"R";"A"
1419;"A";"A";"A"
1420;"R";"R";"R"
1421;"R";"R";"R"
1422;"R";"R";"A"
1423;"R";"R";"R"
1424;"R";"A";"A"
1425;"A";"R";"R"
1426;"A";"A";"A"
1427;"R";"R";"A"
1428;"A";"A";"R"
1429;"R";"R";"R"
1430;"A";"R";"R"
1431;"R";"R";"R"
1432;"A";"R";"A"
1433;"R";"A";"R"
1434;"R";"R";"A"
1435;"R";"R";"R"
1436;"R";"A";"R"
1437;"R";"R";"A"
1438;"R";"R";"R"
1439;"R";"R";"A"
1440;"A";"R";"A"
1441;"R";"A";"R"
1442;"A";"R";"A"
1443;"R";"R";"R"
1444;"A";"A";"R"
1445;"R";"R";"R"
1446;"A";"A";"R"
1447;"R";"A";"A"
1448;"A";"R";"R"
1449;"A";"R";"A"
1450;"R";"R";"R"
1451;"R";"A";"R"
1452;"A";"A";"A"
1453;"R";"A";"A"
1454;"A";"A";"R"
1455;"R";"R";"R"
1456;"R";"R";"A"
1457;"R";"A";"R"
1458;"A";"A";"A"
1459;"A";"R";"R"
1460;"A";"A";"A"
1461;"R";"A";"A"
1462;"A";"R";"A"
1463;"A";"R";"A"
1464;"R";"A";"A"
1465;"R";"A";"A"
1466;"R";"R";"A"
1467;"R";"A";"A"
1468;"A";"R";"A"
1469;"A";"A";"R"
1470;"R";"A";"A"
1471;"A";"A";"R"
1472;"R";"R";"A"
1473;"R";"A";"A"
1474;"R";"A";"A"
1475;"R";"R";"A"
1476;"A";"R";"A"
1477;"A";"R";"R"
1478;"A";"R";"R"
1479;"R";"A";"A"
1480;"A";"R";"A"
1481;"A";"R";"R"
1482;"R";"A";"R"
1483;"R";"R";"R"
1484;"R";"A";"R"
1485;"R";"R";"R"
1486;"A";"A";"A"
1487;"R";"R";"R"
1488;"A";"R";"A"
1489;"R";"A";"A"
1490;"R";"R";"A"
1491;"A";"R";"R"
1492;"R";"A";"A"
1493;"A";"R";"A"
1494;"R";"R";"R"
1495;"A";"R";"A"
1496;"R";"R";"A"
1497;"A";"R";"R"
1498;"A";"A";"A"
1499;"A";"A";"A"
1500;"A";"R";"R"
